,,,,,,,,Prerequisites,,,,,,Major topics covered in the course/training opportunity,,,,,,
Data Matters: Data Science Short Course Series,National Consortium for Data Science,In person,Single occurence,"""Data Mattersª is a week-long series of one and two-day courses aimed at professionals in business, research, and government. If you are struggling to stay afloat in the data deluge, grappling with large, complex data, or simply want to sharpen your data science skills, Data Matters is for you.""",No,http://datamatters.org/,,None,n,n,n,y,n,y,n,n,y,y,y,y
Data Science and Visualization Institute for Librarians,NC State University,In person,Single occurence,"""The Data Science and Visualization Institute for Librarians is a week-long course providing the opportunity for librarians passionate about research and scholarship to immerse themselves in learning about data science and visualization in collaboration with academic peers.""",Yes,https://www.lib.ncsu.edu/datavizinstitute,,None,n,n,n,y,n,y,y,y,n,y,y,y
Research Data Management,Library Juice Academy,online,OER,Asynchronous online course,Yes,http://libraryjuiceacademy.com/082-data-management.php,"Some aspects of programming, like writing SPARQL queries and topics related to Semantic Web",None,n,n,n,y,n,y,y,n,n,y,n,n
Beyond the SEA: Data Science 101: An Introduction for Librarians,NNLM,online,OER,"""This webinar will explain what big data is and provide an introduction to the data science techniques that can be used to analyze it.""",Yes,https://nnlm.gov/class/beyond-sea-data-science-101-introduction-librarians/6502,This is just an overview webinar,None,n,n,n,y,n,n,n,n,n,n,n,n
Curating Research Data,ACRL,online,webinar,"""This webinar will explore the drivers behind library data curation services and the workflows and staffing in place at several institutions leading the way.""",Yes,http://www.ala.org/acrl/onlinelearning/curatingresearchdata,,None,n,n,n,y,n,n,n,n,y,y,n,n
Data Science Initiative,UCSF,In person,Workshops,"""The UCSF Library Data Science Initiative is a hub for anyone at UCSF that works with data. The workshops and programs we offer teach scientists how to program in R and Python, create data visualizations, use software to analyze large biomedical datasets, share their data to meet publication requirements, find public genomic data and much more.""",No,https://www.library.ucsf.edu/data-science/,Ad hoc workshops targeted towards researchers but seems like it could be applicable to librarians as well.,None,n,n,n,y,n,y,y,y,y,y,y,y
Data Science for Library and Information Professionals,University of Pittsburgh,In person,Course,"""This course will survey the landscape of data science and explores its relationship to librarians and information professionals.""",Yes,http://www.pitt.edu/~mcburton/lis2678-2017.html,"The materials are freely available, but the course if for University of Pittsburgh students ",Admission to Univ of Pittsburgh,n,n,n,y,n,y,n,n,n,n,y,y
,,,,,,,,,,,,,,,,,,,,
,,,,Specifically targeted to librarians - percentage,29%,,,,14%,9%,14%,94%,23%,71%,54%,49%,20%,68%,69%,60%
,,,,Specifically targeted to librarians - number,10,,,26,,,,33,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
